영화관명,브랜드명,영업상태명,영화관지역명,광역단체,기초단체,번지명,도로명,좌표정보x(epsg5174),y(epsg5174)
방학,CGV,영업,서울시,서울시,도봉구,서울특별시 도봉구 방학동 707-6,"서울특별시 도봉구 도봉로 684, 6~7층 (방학동)",203783.2123,462550.4573
불광,CGV,영업,서울시,서울시,은평구,서울특별시 은평구 대조동 240 팜스퀘어,"서울특별시 은평구 불광로 20, 13층 (대조동, 팜스퀘어)",193661.7324,456379.1939
상봉,CGV,영업,서울시,서울시,중랑구,서울특별시 중랑구 상봉동 501,"서울특별시 중랑구 상봉로 131, 지하1,2층 (상봉동, 상봉듀오트리스주상복합)",208076.3867,455017.5286
성신여대입구,CGV,영업,서울시,서울시,성북구,서울특별시 성북구 동선동1가 1-2 유타,"서울특별시 성북구 동소문로 106, 유타 10층 (동선동1가)",201447.4187,454477.1033
수유,CGV,영업,서울시,서울시,강북구,서울특별시 강북구 수유동 168-12,"서울특별시 강북구 도봉로 399, 8층 (수유동)",202565.2368,460003.1177
신촌아트레온,CGV,영업,서울시,서울시,서대문구,서울특별시 서대문구 창천동 20-25,"""서울특별시 서대문구 신촌로 129, 3층 (창천동, 아트레온)""",194649.344,450478.3522
씨네프쉐프 압구정,CGV,영업,서울시,서울시,강남구,서울특별시 강남구 신사동 602,서울특별시 강남구 압구정로30길 45 (신사동),202530.1848,446900.9612
씨네프쉐프 용산,CGV,영업,서울시,서울시,용산구,서울특별시 용산구 한강로3가 40-961,"서울특별시 용산구 한강대로23길 55, 6층 (한강로3가, 현대아이파크몰)",196864.3606,447707.4033
여의도,CGV,영업,서울시,서울시,영등포구,서울특별시 영등포구 여의도동 23,"서울특별시 영등포구 국제금융로 10, B3층 (여의도동, IFC)",193326.931,446973.9146
연남,CGV,영업,서울시,서울시,마포구,서울특별시 마포구 동교동 167-2 LC TOWER,"서울특별시 마포구 양화로 186, LC TOWER 7~10층 (동교동)",193383.4159,450602.3823
영등포,CGV,영업,서울시,서울시,영등포구,서울특별시 영등포구 영등포동4가 442,"서울특별시 영등포구 영중로 15, 6층 (영등포동4가, 타임스퀘어)",191385.0574,446098.5559
왕십리,CGV,영업,서울시,서울시,성동구,서울특별시 성동구 행당동 168-151 왕십리민자역사,"서울특별시 성동구 왕십리광장로 17, 왕십리민자역사 5층 (행당동)",203321.5623,451001.8687
용산아이파크몰,CGV,영업,서울시,서울시,용산구,서울특별시 용산구 한강로3가 40-961,"서울특별시 용산구 한강대로23길 55, 6층 (한강로3가, 현대아이파크몰)",196864.3606,447707.4033
중계,CGV,영업,서울시,서울시,노원구,서울특별시 노원구 중계동 509-2 홈플러스,"서울특별시 노원구 동일로204가길 12 (중계동, 홈플러스)",205985.9533,459730.4378
천호,CGV,영업,서울시,서울시,강동구,서울특별시 강동구 천호동 42,"서울특별시 강동구 양재대로 1571, 4층 (천호동)",212501.3691,449282.3104
청담씨네시티,CGV,영업,서울시,서울시,강남구,서울특별시 강남구 신사동 651-21,서울특별시 강남구 도산대로 323 (신사동),203205.417,446740.5529
피카디리1958,CGV,영업,서울시,서울시,종로구,서울특별시 종로구 돈의동 137,"""서울특별시 종로구 돈화문로5가길 1 (돈의동,지하4층)""",199155.5449,452083.1255
홍대,CGV,영업,서울시,서울시,마포구,서울특별시 마포구 동교동 159-8,서울특별시 마포구 양화로 153 (동교동),193105.3351,450464.4442
경기광주,CGV,영업,경기도,경기도,광주시,경기도 광주시 역동 16-1,경기도 광주시 중앙로 89 (역동),222812.8759,433972.2643
고양백석,CGV,영업,경기도,경기도,고양시,경기도 고양시 일산동구 백석동 1242 고양종합터미날  5층,경기도 고양시 일산동구 중앙로 1036 (백석동),181369.9672,460117.3546
고양행신,CGV,영업,경기도,경기도,고양시,"경기도 고양시 덕양구 행신동 762-2 로터스플레이스 5,6층","경기도 고양시 덕양구 충장로 8, 로터스플레이스 5,6층 (행신동)",185318.5575,456821.6695
광교,CGV,영업,경기도,경기도,수원시,경기도 수원시 영통구 하동 1017-2 갤러리아 광교,"경기도 수원시 영통구 광교중앙로 124, 갤러리아 광교 10층 (하동)",205023.5829,420361.2482
광교상현,CGV,영업,경기도,경기도,용인시,경기도 용인시 수지구 상현동 1116-4번지,"경기도 용인시 수지구 광교중앙로295번길 9, 3층 (상현동)",205967.9253,421662.9071
광명역,CGV,영업,경기도,경기도,광명시,경기도 광명시 일직동 514,"경기도 광명시 일직로 43, GIDC B동 B2층 G262호, G301호 (일직동)",189919.3109,435641.2772
구리,CGV,영업,경기도,경기도,구리시,경기도 구리시 갈매동 552-4,"경기도 구리시 갈매순환로 180, 힐스테이트 갈매역 스칸센알토(B그룹) 문화 및 집회시설동 B1,B2층 (갈매동)",210762.2399,459251.6129
구리갈매,CGV,영업,경기도,경기도,구리시,경기도 구리시 갈매동 552-4,"경기도 구리시 갈매순환로 180, 힐스테이트 갈매역 스칸센알토(B그룹) 문화 및 집회시설동 B1,B2층 (갈매동)",210762.2399,459251.6129
기흥,CGV,영업,경기도,경기도,용인시,경기도 용인시 기흥구 구갈동 679,"경기도 용인시 기흥구 기흥로 58-1, 기흥ICT밸리 B동 지하2층 (구갈동)",210517.5679,419792.271
김포,CGV,영업,경기도,경기도,김포시,경기도 김포시 걸포동 1574-3번지,"경기도 김포시 걸포로 6, 7층 (걸포동)",174092.8329,458913.3134
김포운양,CGV,영업,경기도,경기도,김포시,경기도 김포시 운양동 1296-9 8층~9층,"경기도 김포시 김포한강11로 288-31, 8층~9층 (운양동)",172052.9683,461430.9601
김포한강,CGV,영업,경기도,경기도,김포시,경기도 김포시 걸포동 1574-3번지,"경기도 김포시 걸포로 6, 7층 (걸포동)",174092.8329,458913.3134
남양주화도,CGV,영업,경기도,경기도,남양주시,경기도 남양주시 화도읍 녹촌리 46-23,"""경기도 남양주시 화도읍 경춘로1876번길 40, 2,3층""",226029.8178,460824.6348
다산,CGV,영업,경기도,경기도,남양주시,경기도 남양주시 다산동 6143,"경기도 남양주시 다산순환로 20, 다산 현대프리미어캠퍼스 지하2층 (다산동)",213352.6388,456784.2681
동두천,CGV,영업,경기도,경기도,동두천시,경기도 동두천시 생연동 364-1,경기도 동두천시 평화로 2346 (생연동),205060.0756,488284.851
동백,CGV,영업,경기도,경기도,용인시,경기도 용인시 기흥구 중동 833 쥬네브썬월드빌딩 7001호,"경기도 용인시 기흥구 동백죽전대로 444, 7001호 (중동, 쥬네브썬월드)",213383.9778,419575.3412
동수원,CGV,영업,경기도,경기도,수원시,경기도 수원시 팔달구 인계동 1113 11~12 7층~10층,"경기도 수원시 팔달구 권광로 181, 7층~10층동 (인계동)",202803.4663,418036.0561
동탄,CGV,영업,경기도,경기도,화성시,경기도 화성시 반송동 96 메타폴리스 A동,"경기도 화성시 동탄중앙로 220, A동 (반송동,메타폴리스)",206044.3325,411453.9057
동탄그랑파사쥬,CGV,영업,경기도,경기도,화성시,"경기도 화성시 송동 725-1 더샵 동탄센텀폴리스 1,2단지","경기도 화성시 동탄대로5길 9, 더샵 동탄센텀폴리스 1,2단지 5,6층 5064,5001,6001호 (송동)",209361.7794,407341.074
동탄역,CGV,영업,경기도,경기도,화성시,경기도 화성시 오산동 967-150,"경기도 화성시 동탄대로 537, 5-7층 (오산동)",208572.1677,411122.5782
동탄호수공원,CGV,영업,경기도,경기도,화성시,경기도 화성시 송동 694,"경기도 화성시 동탄대로 181, 레이크꼬모 B2층 (송동)",209253.3874,407725.1146
배곧,CGV,영업,경기도,경기도,시흥시,경기도 시흥시 정왕동 1771-1 서영베니스스퀘어,"경기도 시흥시 서울대학로278번길 61, 서영베니스스퀘어 7~8층 (정왕동)",176072.6007,429602.844
범계,CGV,영업,경기도,경기도,안양시,경기도 안양시 동안구 호계동 1039-3 뉴코아아울렛 11층,"경기도 안양시 동안구 동안로 119 (호계동,뉴코아아울렛 11층)",195607.794,431900.7041
부천,CGV,영업,경기도,경기도,부천시,경기도 부천시 원미구 심곡동 383-1 씨네마홀 8층,"경기도 부천시 원미구 부일로 460, 8층 (심곡동, 씨네마홀)",180574.4511,442653.4956
부천역,CGV,영업,경기도,경기도,부천시,경기도 부천시 원미구 심곡동 383-1 씨네마홀 8층,"경기도 부천시 원미구 부일로 460, 8층 (심곡동, 씨네마홀)",180574.4511,442653.4956
산본,CGV,영업,경기도,경기도,군포시,경기도 군포시 산본동 1142-2 4층,"경기도 군포시 번영로 505, 4층 (산본동)",194028.372,428538.8749
서현,CGV,영업,경기도,경기도,성남시,경기도 성남시 분당구 서현동 256,"경기도 성남시 분당구 서현로180번길 19, 1층 (서현동)",210773.548,431704.1073
